"","Var1","Freq"
"1","1972-12-27",1
"2","1978-06-28",1
"3","1985-02-09",1
"4","1987-06-22",1
"5","1996-03-01",1
"6","1996-09-13",1
"7","2002-10-04",1
"8","2002-10-05",2
"9","2003-03-10",1
"10","2010-12-06",2
"11","2013-07-24",1
"12","2016-04-16",1
"13","2017",6
"14","2017-08-29",1
"15","2018-08",1
"16","2019",12
"17","2019-03-19",1
"18","2019-06-25",2
"19","2019-10-22",1
"20","2019-12-05",1
"21","2019-12-24",1
"22","2019-12-26",1
"23","2019-12-30",20
"24","2019-12-31",2
"25","2020",4641
"26","2020-01",57
"27","2020-01-01",27
"28","2020-01-02",3
"29","2020-01-03",2
"30","2020-01-05",2
"31","2020-01-08",4
"32","2020-01-10",5
"33","2020-01-11",3
"34","2020-01-13",6
"35","2020-01-14",2
"36","2020-01-15",6
"37","2020-01-16",5
"38","2020-01-17",5
"39","2020-01-18",7
"40","2020-01-19",5
"41","2020-01-20",9
"42","2020-01-21",29
"43","2020-01-22",47
"44","2020-01-23",42
"45","2020-01-24",46
"46","2020-01-25",64
"47","2020-01-26",60
"48","2020-01-27",42
"49","2020-01-28",36
"50","2020-01-29",72
"51","2020-01-30",67
"52","2020-01-31",50
"53","2020-02",72
"54","2020-02-01",55
"55","2020-02-02",53
"56","2020-02-03",45
"57","2020-02-04",43
"58","2020-02-05",47
"59","2020-02-06",37
"60","2020-02-07",36
"61","2020-02-08",50
"62","2020-02-09",42
"63","2020-02-10",33
"64","2020-02-11",35
"65","2020-02-12",31
"66","2020-02-13",23
"67","2020-02-14",22
"68","2020-02-15",52
"69","2020-02-16",37
"70","2020-02-17",62
"71","2020-02-18",25
"72","2020-02-19",31
"73","2020-02-20",47
"74","2020-02-21",57
"75","2020-02-22",58
"76","2020-02-23",49
"77","2020-02-24",76
"78","2020-02-25",79
"79","2020-02-26",85
"80","2020-02-27",118
"81","2020-02-28",194
"82","2020-02-29",145
"83","2020-03",1459
"84","2020-03-01",233
"85","2020-03-02",349
"86","2020-03-03",405
"87","2020-03-04",474
"88","2020-03-05",478
"89","2020-03-06",484
"90","2020-03-07",442
"91","2020-03-08",463
"92","2020-03-09",984
"93","2020-03-10",926
"94","2020-03-11",1031
"95","2020-03-12",1248
"96","2020-03-13",1403
"97","2020-03-14",1282
"98","2020-03-15",1578
"99","2020-03-16",2236
"100","2020-03-17",2204
"101","2020-03-18",2262
"102","2020-03-19",2089
"103","2020-03-20",2194
"104","2020-03-21",1795
"105","2020-03-22",1906
"106","2020-03-23",2911
"107","2020-03-24",2802
"108","2020-03-25",2767
"109","2020-03-26",2776
"110","2020-03-27",2831
"111","2020-03-28",2223
"112","2020-03-29",1934
"113","2020-03-30",2997
"114","2020-03-31",2770
"115","2020-04",1584
"116","2020-04-01",2812
"117","2020-04-02",2383
"118","2020-04-03",2447
"119","2020-04-04",1747
"120","2020-04-05",1464
"121","2020-04-06",2545
"122","2020-04-07",2230
"123","2020-04-08",2209
"124","2020-04-09",1848
"125","2020-04-10",1868
"126","2020-04-11",1550
"127","2020-04-12",1202
"128","2020-04-13",2079
"129","2020-04-14",1932
"130","2020-04-15",1821
"131","2020-04-16",1730
"132","2020-04-17",1696
"133","2020-04-18",1205
"134","2020-04-19",883
"135","2020-04-20",1911
"136","2020-04-21",1568
"137","2020-04-22",1556
"138","2020-04-23",1440
"139","2020-04-24",1332
"140","2020-04-25",931
"141","2020-04-26",808
"142","2020-04-27",1518
"143","2020-04-28",1287
"144","2020-04-29",1421
"145","2020-04-30",1429
"146","2020-05",844
"147","2020-05-01",1294
"148","2020-05-02",847
"149","2020-05-03",697
"150","2020-05-04",1309
"151","2020-05-05",1040
"152","2020-05-06",1005
"153","2020-05-07",976
"154","2020-05-08",946
"155","2020-05-09",672
"156","2020-05-10",500
"157","2020-05-11",1024
"158","2020-05-12",963
"159","2020-05-13",999
"160","2020-05-14",1115
"161","2020-05-15",1099
"162","2020-05-16",566
"163","2020-05-17",524
"164","2020-05-18",1227
"165","2020-05-19",1058
"166","2020-05-20",806
"167","2020-05-21",782
"168","2020-05-22",821
"169","2020-05-23",465
"170","2020-05-24",411
"171","2020-05-25",698
"172","2020-05-26",774
"173","2020-05-27",801
"174","2020-05-28",635
"175","2020-05-29",602
"176","2020-05-30",414
"177","2020-05-31",345
"178","2020-06",810
"179","2020-06-01",821
"180","2020-06-02",781
"181","2020-06-03",695
"182","2020-06-04",701
"183","2020-06-05",629
"184","2020-06-06",388
"185","2020-06-07",497
"186","2020-06-08",981
"187","2020-06-09",848
"188","2020-06-10",888
"189","2020-06-11",1127
"190","2020-06-12",1009
"191","2020-06-13",843
"192","2020-06-14",723
"193","2020-06-15",1362
"194","2020-06-16",1292
"195","2020-06-17",1175
"196","2020-06-18",1179
"197","2020-06-19",1200
"198","2020-06-20",715
"199","2020-06-21",726
"200","2020-06-22",1093
"201","2020-06-23",1088
"202","2020-06-24",1273
"203","2020-06-25",1095
"204","2020-06-26",1008
"205","2020-06-27",624
"206","2020-06-28",578
"207","2020-06-29",1282
"208","2020-06-30",1185
"209","2020-07",919
"210","2020-07-01",1168
"211","2020-07-02",1383
"212","2020-07-03",1056
"213","2020-07-04",749
"214","2020-07-05",537
"215","2020-07-06",1148
"216","2020-07-07",1094
"217","2020-07-08",1149
"218","2020-07-09",1024
"219","2020-07-10",1182
"220","2020-07-11",705
"221","2020-07-12",439
"222","2020-07-13",1183
"223","2020-07-14",986
"224","2020-07-15",1088
"225","2020-07-16",985
"226","2020-07-17",987
"227","2020-07-18",870
"228","2020-07-19",672
"229","2020-07-20",1151
"230","2020-07-21",1498
"231","2020-07-22",1382
"232","2020-07-23",1021
"233","2020-07-24",973
"234","2020-07-25",759
"235","2020-07-26",495
"236","2020-07-27",1379
"237","2020-07-28",1062
"238","2020-07-29",1114
"239","2020-07-30",1062
"240","2020-07-31",1012
"241","2020-08",555
"242","2020-08-01",981
"243","2020-08-02",844
"244","2020-08-03",1491
"245","2020-08-04",1269
"246","2020-08-05",1288
"247","2020-08-06",1424
"248","2020-08-07",1176
"249","2020-08-08",748
"250","2020-08-09",766
"251","2020-08-10",1792
"252","2020-08-11",1413
"253","2020-08-12",1270
"254","2020-08-13",1291
"255","2020-08-14",1161
"256","2020-08-15",788
"257","2020-08-16",594
"258","2020-08-17",1769
"259","2020-08-18",1281
"260","2020-08-19",1173
"261","2020-08-20",1355
"262","2020-08-21",1158
"263","2020-08-22",583
"264","2020-08-23",519
"265","2020-08-24",1539
"266","2020-08-25",1134
"267","2020-08-26",1270
"268","2020-08-27",1214
"269","2020-08-28",1146
"270","2020-08-29",709
"271","2020-08-30",793
"272","2020-08-31",2045
"273","2020-09",537
"274","2020-09-01",1281
"275","2020-09-02",1073
"276","2020-09-03",1186
"277","2020-09-04",997
"278","2020-09-05",541
"279","2020-09-06",331
"280","2020-09-07",1299
"281","2020-09-08",939
"282","2020-09-09",1645
"283","2020-09-10",1966
"284","2020-09-11",1108
"285","2020-09-12",416
"286","2020-09-13",381
"287","2020-09-14",1886
"288","2020-09-15",1067
"289","2020-09-16",2004
"290","2020-09-17",1112
"291","2020-09-18",1285
"292","2020-09-19",777
"293","2020-09-20",791
"294","2020-09-21",2606
"295","2020-09-22",1170
"296","2020-09-23",1498
"297","2020-09-24",2568
"298","2020-09-25",1453
"299","2020-09-26",675
"300","2020-09-27",1105
"301","2020-09-28",1444
"302","2020-09-29",1357
"303","2020-09-30",1294
"304","2020-10",818
"305","2020-10-01",2208
"306","2020-10-02",1401
"307","2020-10-03",1169
"308","2020-10-04",746
"309","2020-10-05",2817
"310","2020-10-06",2309
"311","2020-10-07",2168
"312","2020-10-08",1758
"313","2020-10-09",1758
"314","2020-10-10",894
"315","2020-10-11",1115
"316","2020-10-12",3343
"317","2020-10-13",1663
"318","2020-10-14",1997
"319","2020-10-15",2867
"320","2020-10-16",1787
"321","2020-10-17",1268
"322","2020-10-18",929
"323","2020-10-19",2511
"324","2020-10-20",2432
"325","2020-10-21",3426
"326","2020-10-22",3174
"327","2020-10-23",1779
"328","2020-10-24",1611
"329","2020-10-25",822
"330","2020-10-26",4419
"331","2020-10-27",2067
"332","2020-10-28",1313
"333","2020-10-29",2241
"334","2020-10-30",2316
"335","2020-10-31",1139
"336","2020-11",1561
"337","2020-11-01",2406
"338","2020-11-02",5428
"339","2020-11-03",2595
"340","2020-11-04",3535
"341","2020-11-05",3383
"342","2020-11-06",2678
"343","2020-11-07",2028
"344","2020-11-08",2943
"345","2020-11-09",4677
"346","2020-11-10",2717
"347","2020-11-11",3103
"348","2020-11-12",3533
"349","2020-11-13",3409
"350","2020-11-14",3253
"351","2020-11-15",1956
"352","2020-11-16",4176
"353","2020-11-17",2757
"354","2020-11-18",3746
"355","2020-11-19",2095
"356","2020-11-20",2518
"357","2020-11-21",1697
"358","2020-11-22",2057
"359","2020-11-23",4920
"360","2020-11-24",3078
"361","2020-11-25",2149
"362","2020-11-26",1662
"363","2020-11-27",2048
"364","2020-11-28",1306
"365","2020-11-29",1264
"366","2020-11-30",5920
"367","2020-12",1320
"368","2020-12-01",2683
"369","2020-12-02",2697
"370","2020-12-03",2770
"371","2020-12-04",2442
"372","2020-12-05",1427
"373","2020-12-06",1570
"374","2020-12-07",7696
"375","2020-12-08",2743
"376","2020-12-09",3024
"377","2020-12-10",4283
"378","2020-12-11",3740
"379","2020-12-12",2301
"380","2020-12-13",2210
"381","2020-12-14",9723
"382","2020-12-15",4319
"383","2020-12-16",4028
"384","2020-12-17",4389
"385","2020-12-18",4353
"386","2020-12-19",2791
"387","2020-12-20",2692
"388","2020-12-21",8292
"389","2020-12-22",3723
"390","2020-12-23",3481
"391","2020-12-24",3241
"392","2020-12-25",1668
"393","2020-12-26",4232
"394","2020-12-27",3988
"395","2020-12-28",9512
"396","2020-12-29",5974
"397","2020-12-30",4550
"398","2020-12-31",3892
"399","2021",9584
"400","2021-01",3746
"401","2021-01-01",2487
"402","2021-01-02",4662
"403","2021-01-03",4241
"404","2021-01-04",11899
"405","2021-01-05",6669
"406","2021-01-06",5167
"407","2021-01-07",5383
"408","2021-01-08",5606
"409","2021-01-09",4807
"410","2021-01-10",3728
"411","2021-01-11",11720
"412","2021-01-12",7699
"413","2021-01-13",6152
"414","2021-01-14",6626
"415","2021-01-15",7319
"416","2021-01-16",5285
"417","2021-01-17",4465
"418","2021-01-18",11923
"419","2021-01-19",8056
"420","2021-01-20",7366
"421","2021-01-21",6716
"422","2021-01-22",6830
"423","2021-01-23",4147
"424","2021-01-24",3820
"425","2021-01-25",13157
"426","2021-01-26",8766
"427","2021-01-27",9045
"428","2021-01-28",8697
"429","2021-01-29",8714
"430","2021-01-30",5882
"431","2021-01-31",4619
"432","2021-02",10429
"433","2021-02-01",11625
"434","2021-02-02",8674
"435","2021-02-03",7858
"436","2021-02-04",7365
"437","2021-02-05",6636
"438","2021-02-06",4457
"439","2021-02-07",4336
"440","2021-02-08",12755
"441","2021-02-09",9791
"442","2021-02-10",9397
"443","2021-02-11",8516
"444","2021-02-12",8210
"445","2021-02-13",4976
"446","2021-02-14",4860
"447","2021-02-15",13720
"448","2021-02-16",10402
"449","2021-02-17",8824
"450","2021-02-18",8349
"451","2021-02-19",8399
"452","2021-02-20",5698
"453","2021-02-21",5599
"454","2021-02-22",15133
"455","2021-02-23",9890
"456","2021-02-24",10443
"457","2021-02-25",10676
"458","2021-02-26",9127
"459","2021-02-27",5751
"460","2021-02-28",5634
"461","2021-03",9317
"462","2021-03-01",14880
"463","2021-03-02",12009
"464","2021-03-03",11521
"465","2021-03-04",9811
"466","2021-03-05",9856
"467","2021-03-06",6235
"468","2021-03-07",5473
"469","2021-03-08",16982
"470","2021-03-09",12488
"471","2021-03-10",12976
"472","2021-03-11",11846
"473","2021-03-12",11684
"474","2021-03-13",7945
"475","2021-03-14",6966
"476","2021-03-15",18958
"477","2021-03-16",14939
"478","2021-03-17",11897
"479","2021-03-18",12577
"480","2021-03-19",10777
"481","2021-03-20",8159
"482","2021-03-21",8111
"483","2021-03-22",20005
"484","2021-03-23",13621
"485","2021-03-24",13330
"486","2021-03-25",13779
"487","2021-03-26",12332
"488","2021-03-27",8310
"489","2021-03-28",6854
"490","2021-03-29",19515
"491","2021-03-30",14772
"492","2021-03-31",12477
"493","2021-04",7472
"494","2021-04-01",12894
"495","2021-04-02",10240
"496","2021-04-03",7733
"497","2021-04-04",6888
"498","2021-04-05",15459
"499","2021-04-06",13419
"500","2021-04-07",13075
"501","2021-04-08",12570
"502","2021-04-09",12618
"503","2021-04-10",8997
"504","2021-04-11",6624
"505","2021-04-12",18742
"506","2021-04-13",14983
"507","2021-04-14",13139
"508","2021-04-15",11588
"509","2021-04-16",11252
"510","2021-04-17",7599
"511","2021-04-18",5553
"512","2021-04-19",16578
"513","2021-04-20",12527
"514","2021-04-21",11914
"515","2021-04-22",11223
"516","2021-04-23",10742
"517","2021-04-24",6644
"518","2021-04-25",5361
"519","2021-04-26",16697
"520","2021-04-27",12494
"521","2021-04-28",10281
"522","2021-04-29",10836
"523","2021-04-30",9852
"524","2021-05",3527
"525","2021-05-01",5892
"526","2021-05-02",4827
"527","2021-05-03",16608
"528","2021-05-04",10301
"529","2021-05-05",9941
"530","2021-05-06",8997
"531","2021-05-07",8401
"532","2021-05-08",5181
"533","2021-05-09",4013
"534","2021-05-10",14307
"535","2021-05-11",8631
"536","2021-05-12",7420
"537","2021-05-13",5699
"538","2021-05-14",6084
"539","2021-05-15",4334
"540","2021-05-16",3233
"541","2021-05-17",11595
"542","2021-05-18",6919
"543","2021-05-19",5702
"544","2021-05-20",5217
"545","2021-05-21",4318
"546","2021-05-22",2794
"547","2021-05-23",2240
"548","2021-05-24",5367
"549","2021-05-25",5224
"550","2021-05-26",4916
"551","2021-05-27",3620
"552","2021-05-28",3284
"553","2021-05-29",3010
"554","2021-05-30",2207
"555","2021-05-31",2256
"556","2021-06-01",3443
"557","2021-06-02",2890
"558","2021-06-03",2713
"559","2021-06-04",1382
"560","2021-06-05",943
"561","2021-06-06",565
"562","2021-06-07",136
"563","2021-06-08",63
"564","2021-06-09",8
"565","2021-06-10",1
"566","2021-06-11",6
